Nom,prix,link,marque,Description,modele,couleur,cathegorie
TOPICREM Mela Savon Exfoliant Eclaircissant Unifiant 150 G,3390,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/191811/1.jpg?8033,TOPICREM,"['Type de produit :\xa0Mela pain exfoliant\xa0 unifiant 150 g', 'Marque : TOPICREM', 'Testée sous contrôle dermatologique.', 'Soin exfoliant', 'Pour visage et corps', 'Peaux sensibles', 'Poids : 150Gr']",Soin exfoliant corps,blanc,beaute-hygiene-sante
BODY SECRET Brume Parfumée Body Secret Love Charm 70Ml - Cerise Et Pêche,580,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/43406/1.jpg?1100,BODY SECRET,"['Brume corporelle', 'Body Mist', 'BODY\xa0\xa0LOVE CHARM', 'Prune rouge et Freesia', 'Pour femme', '70ml']",LOVE CHARM,TRANSPARENT,beaute-hygiene-sante
Generic Tondeuse A Cheveux Electrique Sans Fil Rechargeable - 2000mAh,8590,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/435611/1.jpg?1463,Generic,"['Couleur blanche', 'Logement ABS', 'Batterie de Li-on :2000MAh.', 'Affichage de la puissance LED', 'Accessoires :4 peignes de guidage, brosse de nettoyage et adaptateur']",Hair Clipper,Black,beaute-hygiene-sante
TOPICREM MELA CREME CORREC JOUR 40ML,6990,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/627121/1.jpg?6155,TOPICREM,"['Type de produit :\xa0Mela Crème Correctrice jour - 40 ml', 'Contenance : 40 ml', 'Marque : TOPICREM', 'Crème Correctrice Jour.', 'Unifie, Clarifie\xa0, corrige les taches et imperfections pigmentaires.', 'Formule SPF 20 avec complexe Clarifiant breveté.', 'Atténue et Clarifiant jour après jour les taches brunes.', 'Protège et hydratée, la peau retrouve éclat et luminosité.', 'Sans paraben.']",1,Blanc,beaute-hygiene-sante
Generic Pousse Cheveux Rapide - Huile de Chébé pur du Tchad - 60 ml,1300,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/457001/1.jpg?7044,Generic,"['Produit: Huile\xa0 de chébé', 'Utilisée par les femmes', 'Augmente la qualité et une longueur de cheveux', 'Favorise la croissance des cheveux et limite la casse', 'Quantité: 60 ml']",1X1,multicolod,beaute-hygiene-sante
The Ordinary Alpha arbutin 2% + HA - Soin Hydratant anti-tâches,6400,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/270401/1.jpg?6605,The Ordinary,"['Soins anti taches', 'Soins hydratants', 'Rendre la peau lisse', 'La meilleure formule anti taches de The Ordinary', 'A utiliser avec une crème solaire de préférence']",Alpha arbutin 2% + HA - Soin Hydratant anti-tâches,blanc,beaute-hygiene-sante
Generic Eponge boucle pour  cheveu napy,2000,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/26389/1.jpg?2938,Generic,"['Type de produit : Éponge ""Twist Curl"" aide à créer des boucles parfaites sur cheveux Nappy', '46 trous de l’éponge Twists', 'Dimensions:\xa0190*115*60mm', 'Idéal pour faire des boucles et twist sur cheveux crépus courts,coupes hommes et femmes.', 'Utiliser l’éponge Twists jusqu’à l’effet désiré !']",Éponge,N/A,beaute-hygiene-sante
"NIVEA Déodorant Homme""Cool Kick"" 48H  - 50ML",1670,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/393811/1.jpg?9021,NIVEA,"['Type Produit : Déodorant', 'Marque : NIVEA', 'Nom : Déodorant Homme""Cool Kick"" 48H', 'Contenance : 50ML', 'Livraison à domicile ou en point relais']",50ML,Jumia Mall,beaute-hygiene-sante
Kiss Préservatifs Gold Extra Plaisir x3,650,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/22389/2.jpg?7473,Kiss,"['Type Produit : Adultes', 'Marque : Kiss', 'Nom : Préservatifs Gold Extra Plaisir', 'Livraison à domicile ou en point relais']",1,Jumia Mall/Food,beaute-hygiene-sante
The Ordinary - Niacinamide 10% + 1 Zinc % Peau Grasse,6900,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/057121/1.jpg?6377,The Ordinary,"['Vegan', 'Réduit les imperfections', 'Régule la production de sébum', 'Repulpant', 'Unifie le teint']",Niacinamide 10% + Zinc 1%,Blanc,beaute-hygiene-sante
