modele,Nom,couleur,cathegorie,marque,prix,Description,link
NP3180,"Gadget Trépied pour Appareil Photo et Téléphone, NeePho",Noir,electronique,Gadget,12000,"['Capacité de charge: 3 kg6.6lb', '\ufeff\ufeffHauteur dépliée : 150cm', '\ufeff\ufeffArticle Poids: 1300 g2.9lb', '\ufeff\ufeffTaille du produit: 60 x 10 x 10 cm', '\ufeff\ufeffPoids du paquet: 1635 g3.6lb']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/043121/1.jpg?2989
N2,Generic Trépied Bluetooth Selfie Stick +deux Lamp Lumière D'appoint et télécommande,Noir,electronique,Generic,7500,"['Perche à selfie et trépied', 'Ce produit vous offre un mode professionnel tout-en-un pour faire passer vos photos au niveau supérieur.', ""Idéal pour les selfies, les photos de groupe, les voyages d'aventure, le vlogging"", 'Télécommande Bluetooth rapide et stable', 'Une perche à selfie compacte avec télécommande sans fil avec une portée de télécommande Bluetooth de 10 mètres, capturant de beaux moments avec des amis et enregistrant la vie quotidienne. Avec une connexion Bluetooth rapide et stable, compatible avec une variété de caméras de téléphone portable']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/308121/1.jpg?1054
IQUIBLA LIFE,Maison Zikr ring chapelet electronique,Noir,electronique,Maison,25000,"['Batterie de grande capacité : l’anneau Zikr est équipé d’un étui de charge portable très unique et classique, qui peut être placé dans l’étui de charge pour être chargé lorsqu’il n’est pas utilisé.', 'Matériau haut de gamme : la bague Zikr est conçue avec un matériau en aluminium pour offrir aux utilisateurs un confort de port à long terme.', 'Étanchéité IP68 : selon la norme CEI (Commission électrotechnique internationale), l’anneau Zikr est conçu avec l’indice IP le plus élevé pour la résistance à la poussière et à l’eau.', 'L’anneau Zikr est conçu en trois tailles différentes de , 20 et 22 mm pour garantir l’applicabilité de tous les utilisateurs.', 'Bluetooth 5.1 : Bluetooth intégré, la bague Zikr est facile à connecter avec la montre et le smartphone Qibla.\xa0Vous pouvez recevoir 5 rappels d’heures de prière par bague Zikr, montre Qibla ou smartphone.']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/684911/1.jpg?2431
Micro cravate,Generic Micro Sans Fil pour Enregistrement Live & Interview,Noir,electronique,Generic,9500,"['Fréquence : 2.4GHz', ""Tension d'entrée : DC4.8-5.4V"", 'Port de charge : pour Lightning', 'Capacité de la batterie : 75mAh', 'Distance de transmission : 8 m avec barrière, 20m sans barrière', 'Taille du microphone : 60*15 * 10mm', 'Poids du microphone : 7g', 'Taille du récepteur : 44*28 * 7mm', 'Poids du récepteur : 3g']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/021811/1.jpg?5604
HIPODS,Tecno Écouteurs sans fil  - HIPODS H2 Tecno - Qualité Garantie - Noir,N/A,electronique,Tecno,13900,"['Version BT : V5.0', 'Portée : 10 m', 'Autonomie de la batterie : 4,5 heures sur une seule charge', ""Le boîtier fournit 12 heures supplémentaires d'"", 'Design\xa0 : compact']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/24999/1.jpg?2450
Adeqwat,Generic Chargeur sans fil à induction QI,orange,electronique,Generic,4900,"['Catégorie : Chargeur induction', 'Appareil compatible : Téléphone portable', 'Modèle(s) compatible(s) : Conçu pour les smartphones Qi (Charge à induction)', 'Puissance (en watts) : 10 W', 'Type de chargeur : Avec câble', 'Marque compatible : UNIVERSEL pour tous smartphones compatible charge sans fil induction QI', 'Couleur : orange', 'Ampérage (A) : 1.8', 'Connecteurs Câble : USB']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/656811/1.jpg?5947
Premium,Generic Lampe SOLAIRE LED - Solar premium -,N/A,electronique,Generic,3500,"['Source LED: 2', '20pcs lumières blanches froides, 0,2w, 20 LM  led', 'Capteur de nuit: moins de 10Lux', 'Retard lumineux élevé: 15 - 25', 'Angle du capteur: 120 degrés', 'Distance du capteur: 3-4m', ""Degré d'\xa0étanchéité: IP65""]",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/55489/1.jpg?9430
Bruleur d'encens,Generic Encensoir Electrique Grand modele,Doré,electronique,Generic,7000,"['Matière\xa0:\xa0métal', 'Model : WF 002', 'Size : 10.4x10,4x18.5', 'Volt : 50-60Hz', 'Puissance: 40w', '240V']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/922101/1.jpg?7185
REGLABLE POUR CLIMATISEUR,Generic SUPPORT MURAL REGLABLE ÉQUERRE POUR CLIMATISEUR,N/A,electronique,Generic,10900,[],https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/719201/1.jpg?3515
Os,Oraimo Montre intelligente Oraimo Tempo W2 OSW-11 - Garantie 365 Jours,Noir,electronique,Oraimo,24900,"['Matière de Bracelet:\xa0Silicone', ""Matériau de l'étui: Alliage"", 'Forme du cadran: Os', 'Taille du Cadran: 1,75 pouces', 'Taille de Bracelet: 150-220MM']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/61498/1.jpg?4131
134 x 20 x 14. 2mm,Generic Pointeur sans fil présentateur avec pointeur laser rechargeable par usb,Noir,electronique,Generic,12000,"['Utilisation multiple', 'Une fonction : Tourneur de page', 'Distance de contrôle : 50M100M', 'Batterie :\xa0 Batterie au lithium polymère', 'Distance de contrôle laser : > 200m', 'Type laser : lumière rouge', 'Taille :\xa0 \xa0 134 * 20 * 14. 2mm', 'Technologie de contrôle : RF2 4GHZ', 'Couleur : Noir']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/982121/1.jpg?7621
T-800 ultra,Smart Watch Montre connecte Smart watch,orange noir,electronique,Smart Watch,10000,"['Charger une\xa0charge magnétique', 'L’écran principal 1.75 HD IPS, 320 * 385', 'Contrôle de lecture de musique Bluetooth lecteur de musique pour téléphone portable', 'Appels à rappeler à la prise en charge', 'Bluetooth version 3.0, 4.0 et prise en charge du téléphone Bluetooth', 'Capacité de la batterie et polymère de haute capacité\xa0220MAH', 'Prise en charge du moteur à vibration', 'Langues prises en charge: français, anglais, espagnol, allemand..', 'Autres caractéristiques réveil, calendrier, chronomètre']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/383121/1.jpg?3725
astech,Astech Smart TV LED 43 Pouces  - Noir,noir,electronique,Astech,145000,"['Type Produit : Téléviseur Led', 'Marque : Astech', 'Modèle : 43AB110D', 'Ecran : 43 pouces (108 cm)', 'Smart Hub et une fonction à distance', 'Technologie de mise en miroir d’écran mobile', 'Connectivité Wi-Fi et Ethernet intégrée', 'Accédez à l’interface Smart TV de Samsung', 'Navigateur Web complet', '2 x ports HDMI', '1 x port USB', '1 x port vidéo composante', 'PurColor', 'Dolby Digital Plus', 'Hub intelligent avec vos applications préférées: Youtube, Netflix, etc..']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/766121/1.jpg?9192
PC,Generic manette USB pour PC - Gamer,Noir,electronique,Generic,3000,"['Type de produit : Manette USB', 'Longueur câble : 1,5m', 'Poids : 0.01 Kg', 'Compatibilité windows XP, Vista, 7, 8.10', 'Câble 1.60M']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/271611/1.jpg?2201
1,Generic LCD Balance Mini Balance Électronique Balance De Poche Balance Numérique,Noir,electronique,Generic,5999,"['50 kg (0 ~ 10 kg d = 5 g), (10 ~ 50 kg d = 10 g)', '48x36x36cm', 'Poids du produit 180g', 'Justesse', 'Precise', 'Sensible']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/105411/1.jpg?8189
Haut-Parleur pour PC 2.0 avec Micro Incorporé - Noir,Generic Haut-Parleur pour PC 2.0 avec Micro Incorporé - Noir,d,electronique,Generic,6250,"['Sortie: RMS 2.5w + 2.5w', 'Rapport S  N: 65dB isolé', 'Ratr: 45dB', 'Impédance: 4 ohms', 'Puissance: USB 5V', 'Unité de haut-parleur: 2WX2']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/95979/1.jpg?2362
FA370S,Astech Congélateur Vertical 7 Tiroirs- Astech - Gris - Garantie 12 Mois - Classe A+,Gris,electronique,Astech,355000,"['Type Produit : Congélateur', 'Type congélateur : Vertical', 'Marque : Astech', 'Modèle : FA370', 'Capacité : 370 Litres', 'Classe énergétique : A+', 'Nombre de tiroirs\xa0 : 7', 'Couleur : Gris']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/8401/1.jpg?7525
32OG14,Astech Téléviseur LED 32 Pouces - HD - 32OG14 - Noir,Noir,electronique,Astech,77000,"['Type Produit : Téléviseur LED', 'Marque : Astech', 'Modèle : 32OG14', 'Taile écran : 32 pouces', 'HDMI : Oui', 'USB : Oui', 'Couleur : Noir']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/436611/1.jpg?8239
support 26-63,Generic Support Mural TV 26'' - 63'' Fixation Téléviseur Pour LED LCD - Noir,Noir,electronique,Generic,3990,"['Type de produit : Support Mural', 'Matière : Acier', 'Compatibilité : TV Plasma 26 à 55 Pouces', 'Pratique et solide', 'Facile d’installation', 'Poids supporté : 50 kg', 'Poids : 0.83 Kg']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/082511/1.jpg?1422
B27,Generic Support mural TV fixe 14 - 42 pouces - Noir,Noir,electronique,Generic,2125,"['Type de produit: Support mural', 'Taille de télé: 14 à 42 pouces', 'Capacité de charge: 25 kg', 'Distance au mur: 25mm', 'Epaisseur: 1mm', 'Poids: 0.5 kg']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/53699/1.jpg?7928
