Nom,prix,link,marque,Description,modele,couleur,cathegorie
Generic Chargeur  Ordinateur universel multifonctionnelle  avec 8 Connecteurs,4750,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/56539/1.jpg?4982,Generic,"['Tension de sortie réglable\xa0: 15V, 16V, 18V, 19V, 20V,\n24V\xa0;', ""Tension d'entrée universelle\xa0: 110V-240V AC\xa0;"", 'Sortie\xa0: 15 - 24V DC\xa0;', 'Puissance de sortie\xa0: 96 W\xa0;', 'Température de fonctionnement\xa0: 0 ℃\nà 40 ℃\xa0;', 'Protection intégrée contre les surcharges\xa0;', 'Protection intégrée contre les courts-circuits.']",Adaptateur ordinateur,Noir,ordinateurs-accessoires-informatique
Generic Paire de  Baffles pour ordinateurs et télévision écran plat  avec Son de Bass,4900,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/60149/1.jpg?6659,Generic,"['Type de produit : Enceinte Sono avec Son de Basse', 'Nombre : 2 baffles', 'Matière : Bois', 'Type de produit : Enceinte Sono avec Son de Basse', 'Nombre : 2 baffles', 'Matière : Bois']",2 Baffles,N/A,ordinateurs-accessoires-informatique
Samsung Clé USB - 64GB + Porte-clés - Argent,3965,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/247811/1.jpg?9823,Samsung,"['Matériel: métal', ""Connexion USB, prise en charge de Hot Plug & Play.Pas d'alimentation externe."", ""Prend en charge différents types de systèmes d'exploitation."", ""Stockage à l'état solide, résistant aux chocs et électromagnétique."", 'Stockage de données durable', ""Vitesse rapide de transfert d'écriture  lecture"", 'Configuration matérielle requise: PC avec connexion USB, ordinateur portable', 'Vie:> 1 million de fois']",Samsung Disk,Argent,ordinateurs-accessoires-informatique
Generic Hub Adaptateur USB 3.1 Type C 3 En 1 À USB-C 4K HDMI USB 3.0 - Or,6190,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/872701/1.jpg?5792,Generic,"[""Interface USB 3.1 (Gen 2) de type C avec un débit de données de transfert jusqu'à 10 Gbits"", ""Opération facile : plug and play, aucun pilote supplémentaire n'est nécessaire"", ""L'adaptateur de boîtier métallique en aluminium multiport USB-C"", ""Prend en charge les résolutions jusqu'à la pleine ouverture 4K2160p(4K) ultra HD"", 'Longueur du câble : env. 3,6""(91,5 mm)', 'Taille du boîtier : env. 2,4"" x 2,0"" x 0,5"" (60,0 x 50,0 x 11,5 mm)']",SSNJSSPQ,Gold,ordinateurs-accessoires-informatique
Generic Souris éclairée Bluetooth sans fil rechargeable-noir,2290,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/531021/1.jpg?8336,Generic,"['Interface : USB', 'Nombre de clés : 3 (clés)', 'Distance de fonctionnement : 10 (m)', 'Direction de la roue: roue tactile', 'Méthode de travail : photoélectrique', 'Résolution optique : 1 600 dpi (dpi)', 'Résolution réglable : trois vitesses et moins', 'Fréquence de transmission sans fil : 2,4 GHz', 'Connexion avec ordinateur : 2.4G+Bluetooth', ""Que ce soit pour soutenir l'ergonomie: support"", 'Taille du produit : 112*58*25MM', 'Poids du produit : 0,07 (KG)']",Souris,noir,ordinateurs-accessoires-informatique
White Label Support ordinateur pliable portatif,3250,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/16888/1.jpg?4356,White Label,"[""Nom: support d'ordinateur portable"", 'Couleur: tempérament argent, gris sidéral profond', 'Matériau: matière plastique silicone', 'Style: pliable et réglable', 'Charge statique: environ 50 kg']",J2,Gris,ordinateurs-accessoires-informatique
Hp Imprimante 2720 - Wifi - Impression - Photocopie - Scanner - Blanc,30900,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/73406/1.jpg?8523,Hp,"[""Type de sortie d'imprimante Monochrome"", 'Couleur Blanc', 'Marque HP', ""Type de média d'impression Envelopes, Paper (plain)"", 'Type de connecteur Wi-Fi', 'séries DeskJet 2710', ""Système d'exploitation MacOS 10.12 Sierra, MacOS 10.14 Mojave, Windows 7, MacOS 10.13 High Sierra"", 'Interface du matériel informatique USB 2.0', 'Capacité de stockage 512 MB', 'Capacité maximale en papier (entrée) 60']",Deskjet 2710,Blanc,ordinateurs-accessoires-informatique
"Generic Support et Refroidisseur ajustable pour Ordinateur Portable 9 - 17"" - Noir",4900,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/39979/1.jpg?2642,Generic,"['Alimentation plug-and-play avec connexion USB.', 'Compatible avec tous les ordinateurs portables.', 'Tension: 5V DC.', 'Dimensions:', 'Base 39 x 26 x 6 cm.', 'Ventilateur (x1): 14 x 14 cm.', 'Câble: 30cm.', 'lumière au néon.']",638 (B),Noir,ordinateurs-accessoires-informatique
Generic Support Réglable Pour Ordinateur Portable - Noir,3450,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/503911/1.jpg?5615,Generic,"['Capacité de charge statique : Environ 25 kg.', 'Fabriqué en ABS concentré\xa0 : super léger, super porteur.', 'Apparence simple en ligne avec le sentiment esthétique du design, une grande surface de couverture en silicone, une protection complète de votre ordinateur.', ""Selon l'ergonomie, les 10 vitesses principales sont réglées."", 'Rangement pratique, poids léger, la meilleure taille peut être transportée à tout moment.', 'Pliage : 28* 6* 2cm', 'Dépliage : 28*18*9cm', ""Poids de l'article : 200g""]",AK100,Noir,ordinateurs-accessoires-informatique
Lenovo Ideapad 1 - 256Go SSD Stockage - 4Go Ram - Dual Core gris - GARANTIE 12 Mois,154000,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/983021/1.jpg?0970,Lenovo,"['Type de produit : Ordinateur portable', 'Processeur Intel N4020 (Dual Core 1.1 GHz  2.6 GHz Turbo - Cache 4 Mo)', '4 Go de mémoire DDR4', 'Ecran\xa0de 15.6"" avec résolution HD (1366 x 768 pixels)', 'Disque dur de 256Go SSD', '2 ports USB 3.0 + 1 connecteur HDMI', 'Communication sans fil\xa0Wi-Fi AC\xa0+\xa0Bluetooth 5.0', ""Jusqu'à 6 heures d'autonomie\xa0(selon l'utilisation)"", 'Webcam intégrée', 'Sécurité : Firmware TPM 2.0', 'Adaptateur secteur 65 Watts']",IDEAPAD 3,GRIS,ordinateurs-accessoires-informatique
