Nom,prix,link,marque,Description,modele,couleur,cathegorie,identification,file_name
Generic Tondeuse A Cheveux Electrique Rechargeable,3250,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/553911/1.jpg?7135,Generic,"['Puissance : 5W', 'Batterie : batterie lithium-ion 18500 mAh', 'Temps de charge : 3 heures', 'Tension nominale : 5 V', ""Temps d'utilisation : 3 heures"", 'Méthode de charge : charge de la batteriecharge directe USB', 'Ajustement fin de la tête de coupe à double usage : pas de zéro réglable', ""Type de tête d'outil: dents denses de sécurité à angle aigu""]",tondeuses cheveux,Noir,beaute-hygiene-sante,33,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\33_Generic_Tondeuse_A_Cheveux_Electrique_Rechargeable.jpg
Beard Active Huile Pousse Barbe Rapide - 30 ml - Noir,1700,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/55188/1.jpg?9492,Beard Active,"['Beard Growth huile accélère la croissance de la barbe', 'Résultat visible en quelque temps', 'Barbe plus dense et plus épaisse', 'Solution 100% à base de plante', 'Ingrétients: aqua,glycérin,morus alba fruit extract,alcohol,leaft extract multiflorum extract.']",30ML,Noir,beaute-hygiene-sante,34,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\34_Beard_Active_Huile_Pousse_Barbe_Rapide_-_30_ml_-_Noir.jpg
Lanbena Liquide blanchissant dentaire biologique - 10 ml,1350,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/67188/1.jpg?1105,Lanbena,"['Effet blanchissant.', 'Efficace pour enlever las taches.', 'Blanchiment des dents', 'réduction de la saleté des dents', ""amélioration de l'hygiène buccodentaire"", 'réduction des maladies buccales.']",Lb6092,blanche,beaute-hygiene-sante,35,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\35_Lanbena_Liquide_blanchissant_dentaire_biologique_-_10_ml.jpg
Htc Tondeuse Professionnelle Sans Fil - Rechargeable AT 209 - 3W - Bleu,2650,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/78639/1.jpg?0413,Htc,"['Qualité professionnelle', 'Rechargeable et à batterie interchangeable', 'Tête de coupe en metal', '1 sabots', 'Moteur silencieux et ultra puissant.', '220V, 3W', 'Bruit inferieur à 70dB']",At -209,Bleu,beaute-hygiene-sante,36,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\36_Htc_Tondeuse_Professionnelle_Sans_Fil_-_Rechargeable_AT_209_-_3W_-_Bleu.jpg
TOPICREM Lait Éclaircissant Topicrem mela - 500ml - blanc,18900,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/170401/1.jpg?8019,TOPICREM,"['Marque: topicrem', 'Type de produits: éclaircissant', 'Couleur : blanc', 'Contenance: 500ml', 'Fabriqué en: Europe']",Lait Éclaircissant,Blanc,beaute-hygiene-sante,37,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\37_TOPICREM_Lait__claircissant_Topicrem_mela_-_500ml_-_blanc.jpg
Waves Gel Pommades Waves 130 Ml,530,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/148911/1.jpg?5391,Waves,"['Type de produit :\xa0Gel Pommades Waves 130 Ml', 'Marque :\xa0Waves', 'Capacité :\xa0130 Ml', 'Quantité : 1', 'Bonne Senteur', 'Durable']",1,Multicolore,beaute-hygiene-sante,38,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\38_Waves_Gel_Pommades_Waves_130_Ml.jpg
Ghandour Cosmetics Eau de Parfum Homme  Sport - Style up - 50ml,480,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/631121/1.jpg?6928,Ghandour Cosmetics,"['Type Produit : Soin pour hommes', 'Marque :\xa0Ghandour Cosmetics - Gamme Homme\xa0STYLE UP', 'Livraison à domicile ou en point relais', 'Quantité: 1']",1,blanc,beaute-hygiene-sante,39,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\39_Ghandour_Cosmetics_Eau_de_Parfum_Homme__Sport_-_Style_up_-_50ml.jpg
Ideal Gel Douche Idealmen Bleu 400 Ml,600,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/148911/1.jpg?9906,Ideal,"['Type de produit :\xa0Gel Douche Idealmen Bleu 400 Ml', 'Marque :\xa0\xa0Idealmen', 'Capacité :\xa0400 Ml', 'Quantité : 1', 'Bonne Senteur', 'Durable']",1,Multicolore,beaute-hygiene-sante,40,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\40_Ideal_Gel_Douche_Idealmen_Bleu_400_Ml.jpg
Ideal Gel Douche Idealmen Vert 400 Ml,600,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/148911/1.jpg?9929,Ideal,"['Type de produit :\xa0Gel Douche Idealmen Vert 400 Ml', 'Marque :\xa0\xa0Idealmen', 'Capacité :\xa0400 Ml', 'Quantité : 1', 'Bonne Senteur', 'Durable']",1,Multicolore,beaute-hygiene-sante,41,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\41_Ideal_Gel_Douche_Idealmen_Vert_400_Ml.jpg
Flowers Eau De Toilette Black Flowers Pour Homme 100Ml,1570,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/43406/1.jpg?1104,Flowers,"['Black Flowers', 'Eau de toilette Pour Homme', 'Senteur boisée au sillage originel et contemporain', 'Spray de 100ml', 'Livraison à domicile ou en point relais']",BLACK FLOWERS,Noir,beaute-hygiene-sante,42,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\42_Flowers_Eau_De_Toilette_Black_Flowers_Pour_Homme_100Ml.jpg
